hidden_sizes,activation,dropout,batch_norm,reg_type,reg_lambda,learning_rate,epochs,best_val_acc,test_acc
"[512, 256, 128]",relu,0.3,True,none,0.0001,0.001,20,0.9877,0.9877
[256],relu,0.3,True,none,0.0001,0.001,20,0.9843,0.9843
"[512, 256]",relu,0.3,True,none,0.0001,0.001,20,0.9865,0.9865
"[512, 256, 128, 64]",relu,0.3,True,none,0.0001,0.001,20,0.9880,0.9880
"[512, 256, 128]",gelu,0.3,True,none,0.0001,0.001,20,0.9875,0.9875
"[512, 256, 128]",relu,0.0,True,none,0.0001,0.001,20,0.9876,0.9876
"[512, 256, 128]",relu,0.1,True,none,0.0001,0.001,20,0.9869,0.9869
"[512, 256, 128]",relu,0.5,True,none,0.0001,0.001,20,0.9852,0.9852
"[512, 256, 128]",relu,0.3,False,none,0.0001,0.001,20,0.9859,0.9859
"[512, 256, 128]",relu,0.3,True,l1,0.0001,0.001,20,0.9860,0.9860
"[512, 256, 128]",relu,0.3,True,l1,0.001,0.001,20,0.9779,0.9779
"[512, 256, 128]",relu,0.3,True,l2,0.0001,0.001,20,0.9877,0.9877
